"Time (s)","latitude","longitude","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.533719971E2,6.500629390E1,2.558420203E1,2.023712084E1,1.561136521E0,2.315966196E2,4.728809560E0,3.385690059E0
1.543719891E2,6.500628416E1,2.558417764E1,1.985820479E1,1.567289192E0,2.306608348E2,4.729121130E0,3.385254846E0
1.553719809E2,6.500627648E1,2.558414950E1,1.994494479E1,1.560257460E0,2.334128621E2,4.730957990E0,3.382687323E0
1.563719738E2,6.500626815E1,2.558411868E1,1.981515939E1,1.561462992E0,2.360779140E2,4.732973609E0,3.379866544E0
1.573719662E2,6.500625695E1,2.558409139E1,2.012033810E1,1.561534077E0,2.321574868E2,4.733890116E0,3.378582751E0
1.583719599E2,6.500624995E1,2.558406073E1,2.033289967E1,1.567437791E0,2.348673654E2,4.733902663E0,3.378565170E0
1.593719531E2,6.500624040E1,2.558403340E1,2.047427521E1,1.560821745E0,2.328256217E2,4.732343356E0,3.380748939E0
1.603719467E2,6.500622644E1,2.558401388E1,2.042441076E1,1.521082058E0,2.213205776E2,4.730985756E0,3.382648490E0
1.613719406E2,6.500621979E1,2.558398135E1,2.066440840E1,1.558471975E0,2.268940854E2,4.730162850E0,3.383799114E0
1.623719349E2,6.500621040E1,2.558395451E1,2.052051951E1,1.563765175E0,2.278286485E2,4.730601672E0,3.383185607E0
1.633719285E2,6.500619943E1,2.558393172E1,2.038309648E1,1.562558691E0,2.260979704E2,4.731349449E0,3.382139769E0
1.643719230E2,6.500618845E1,2.558390638E1,2.039660812E1,1.580142066E0,2.241609371E2,4.731017613E0,3.382603935E0
1.653719175E2,6.500618001E1,2.558387785E1,2.053608239E1,1.579387479E0,2.292854613E2,4.730120670E0,3.383858076E0
1.663719133E2,6.500617040E1,2.558385243E1,2.062344233E1,1.562618881E0,2.309676759E2,4.731315917E0,3.382186679E0
1.673719076E2,6.500616061E1,2.558382741E1,2.042154811E1,1.564469032E0,2.302318491E2,4.730568466E0,3.383232038E0
1.683719023E2,6.500615351E1,2.558380014E1,2.066106076E1,1.566506780E0,2.346929490E2,4.732640403E0,3.380333097E0
1.693718982E2,6.500614277E1,2.558377453E1,2.045144805E1,1.566688271E0,2.322241601E2,4.735932737E0,3.375718907E0
1.703718935E2,6.500613611E1,2.558374598E1,2.107968326E1,1.571948144E0,2.348205735E2,4.735874739E0,3.375800274E0
1.713718886E2,6.500612245E1,2.558372548E1,2.084327430E1,1.577126674E0,2.260970163E2,4.735077007E0,3.376919123E0
1.723718845E2,6.500611313E1,2.558369696E1,2.115861880E1,1.590895013E0,2.269985882E2,4.732092386E0,3.381100218E0
1.733718798E2,6.500610312E1,2.558367040E1,2.115732992E1,1.592732837E0,2.298894855E2,4.731060319E0,3.382544204E0
1.743718754E2,6.500609558E1,2.558363865E1,2.083966382E1,1.586959874E0,2.354808438E2,4.732196148E0,3.380954991E0
1.753718714E2,6.500608532E1,2.558361476E1,2.105477209E1,1.605474418E0,2.335710301E2,4.733345285E0,3.379346009E0
1.763718678E2,6.500607494E1,2.558359014E1,2.104708234E1,1.576037036E0,2.321455296E2,4.733681539E0,3.378874978E0
1.773718636E2,6.500606495E1,2.558356431E1,2.099406142E1,1.605346081E0,2.297191056E2,4.737464018E0,3.373569580E0
1.783718593E2,6.500605472E1,2.558353959E1,2.102587334E1,1.549024951E0,2.246649552E2,4.732802200E0,3.380106562E0
1.793718560E2,6.500604301E1,2.558351674E1,2.142085605E1,1.588272296E0,2.241513877E2,4.731732907E0,3.381603278E0
1.803718523E2,6.500602826E1,2.558349906E1,2.132841160E1,1.600078721E0,2.190502375E2,4.732527285E0,3.380491462E0
1.813718481E2,6.500601791E1,2.558347138E1,2.127139338E1,1.591684336E0,2.244864386E2,4.731697810E0,3.381652387E0
1.823718444E2,6.500601326E1,2.558343352E1,2.103582037E1,1.587485656E0,2.336603514E2,4.729661012E0,3.384500516E0
1.833718404E2,6.500600447E1,2.558340611E1,2.132233348E1,1.594568178E0,2.357361516E2,4.731752095E0,3.381576429E0
1.843718379E2,6.500599463E1,2.558338024E1,2.150442098E1,1.582135840E0,2.313027877E2,4.731806744E0,3.381499958E0
1.853718340E2,6.500598913E1,2.558334882E1,2.171775738E1,1.582535369E0,2.361586407E2,4.732919980E0,3.379941641E0
1.863718303E2,6.500597822E1,2.558332301E1,2.149102581E1,1.575461751E0,2.337973384E2,4.733054333E0,3.379753499E0
1.873718269E2,6.500596924E1,2.558329157E1,2.143568341E1,1.614657003E0,2.359849944E2,4.733367511E0,3.379314876E0
1.883718231E2,6.500596022E1,2.558326160E1,2.168939048E1,1.604349095E0,2.360302173E2,4.736531381E0,3.374878889E0
1.893718207E2,6.500594858E1,2.558323766E1,2.181748439E1,1.645796630E0,2.310691521E2,4.737240309E0,3.373883710E0
1.903718172E2,6.500593720E1,2.558321564E1,2.225138871E1,1.612474031E0,2.248444814E2,4.735193400E0,3.376755914E0
1.913718133E2,6.500593007E1,2.558318311E1,2.198171838E1,1.604338061E0,2.319322860E2,4.736107585E0,3.375473593E0
1.923718106E2,6.500592392E1,2.558314906E1,2.206322693E1,1.599724695E0,2.374278139E2,4.736649561E0,3.374713020E0
